"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"Australia","Pharmaceutical products",0,8866.74,0,3604.59,0,3784.01,0,1957.08,0,4711.84,0,5315.59,NA,5504.95,NA,33744.83
"Australia","Vegetable oil and fat",0,1806.09,0,796.08,0,2025.11,0,1740.67,0,653.89,0,1649.91,NA,1173.93,NA,9845.72
"Australia","Other preparations for foodstuff",0,1197.57,0,1625.85,0,951.52,0,1445.09,0,1478.16,0,992.15,NA,1507.23,NA,9197.6
"Australia","Plastic materials",197,353.39,216,279.11,131,304.9,62,143.25,209,351.52,125,270.67,99,290.54,1039,1993.41
"Australia","Cotton",19948,36709.64,12064,21622.12,4613,8314.15,3922,7242.51,3669,6805.22,6284,12003.39,19233,34329.64,69733,127026.7
"Australia","Precious stones, precious metals and their products",0,644.68,0,1378.7,0,1338.46,0,1039.76,0,1062.59,0,980.12,NA,751.45,NA,7195.78
"China, PR",NA,0,12053793.27,0,11283898.23,0,14762374.91,0,15033198.34,0,16186924.97,0,15398475.33,NA,16736320.45,NA,101454985.54
"China, PR","Fibres, not spun",66249,125685.88,65043,127184.5,76667,160889.22,78464,178909.07,85292,177380.24,82847,168474.35,82386,167313.41,536948,1105836.71
"China, PR","Petroleum oil, refined",96707,72774.51,130223,97447.55,139318,97571.2,88903,58995.29,135074,87453.01,82047,56343.91,112917,82016.13,785189,552601.63
"China, PR","Textile fibrics",0,771864.53,0,611596.53,0,909694.65,0,1020727.72,0,1020038.15,0,828695.83,NA,826897.71,NA,5989515.14
"China, PR","Insecticides and materials",0,31775.24,0,29591.29,0,44170.33,0,47020.34,0,40570.39,0,40344.7,NA,35659.48,NA,269131.8
"China, PR","Animal fodder and materials",0,26951.04,0,19945.5,0,30484.27,0,25791.99,0,29752.55,0,33511.24,NA,32470.96,NA,198907.58
"China, PR","Glass and glassware",0,57259.17,0,64257.19,0,80660.15,0,78863.68,0,81590.9,0,83642.96,NA,73008.32,NA,519282.4
"China, PR","Coal",32369,8409.47,24897,5956.9,11765,2816.28,47885,11752.6,21017,5275.93,28165,7344.13,38201,8223.44,204299,49778.78
"China, PR","Iron, Steel",537563,354284.3,1006781,590505.87,709288,461840.7,714768,463851.58,702369,451692.53,754022,486459.53,710036,454402.6,5134827,3263037.13
"China, PR","Articles of iron and steel",0,384333.22,0,304695.9,0,449311.53,0,468283.24,0,507696.33,0,506468.48,NA,579954.38,NA,3200743.1
"China, PR","Other base metal products",0,233054.84,0,226950.39,0,304001.31,0,335470.81,0,369612.87,0,369267.2,NA,394793.42,NA,2233150.88
"China, PR","Paper products",0,57114.05,0,49234.1,0,77775.26,0,82462.49,0,87552.95,0,83633.11,NA,91548.77,NA,529320.77
"China, PR","Articles of plastics",0,430030.22,0,361528.74,0,530582.66,0,537555.93,0,619197.48,0,566801.08,NA,632090.1,NA,3677786.23
"China, PR","Articles of rubber",0,43792.93,0,41118.81,0,54960.22,0,53196.53,0,58701.66,0,55034.61,NA,57702.17,NA,364506.95
"China, PR","Other petroleum products",0,21438.66,0,19163.81,0,17021.5,0,19236.97,0,25195.96,0,21587.34,NA,31388.09,NA,155032.36
"China, PR","Chemical products",0,246797.67,0,206349.03,0,293616.16,0,277952.04,0,287862.43,0,267335.2,NA,288229.04,NA,1868141.59
